rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,scheme_1,counts,latitude,longitude
1,agrarmarkt austria,49797136.94,0.02553039646152637,WIEN,c0e4522846c6c3fb0cd25d5e0bdd284205617a80,VI.25 Verwaltung EU-Fonds - Technische Hilfe (Artikel 51 bis 54) National _&_ VI.25 Verwaltung EU-Fonds - Technische Hilfe (Artikel 51 bis 54) EAFRD,Verwaltung EU-Fonds - Technische Hilfe (Artikel 51 bis 54),National _&_ EAFRD,2,,
2,bundesministerium für land-und forstwirtschaft regionen u.wasserwirtschaft,7869360.71,0.004034527106791908,WIEN,c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4,VI.25 Technische Hilfe (Artikel 51 bis 54) National _&_ VI.25 Technische Hilfe (Artikel 51 bis 54) EAFRD _&_ VI.21 Zusammenarbeit (Artikel 35) EAFRD _&_ VI.21 Zusammenarbeit (Artikel 35) National,Technische Hilfe (Artikel 51 bis 54) _&_ Zusammenarbeit (Artikel 35),National _&_ EAFRD,4,,
3,a1 telekom austria aktiengesellschaft,4939161.88,0.0025322492161746744,WIEN,ba90013a92ee3fa1895b18b70992e7a25e867a0b,"I.7 - Specific support – Title III, Chapter 5",Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20),National _&_ EAFRD,2,,
4,arge lk beratung,4292519.02,0.002200723156660312,WIEN,2b1351297f9d38f59530bc598ff84e4da9326d77,"I.2 - Single area payment scheme – Title V, Chapter 2","Beratungs-, Betriebsführungs- und Vertretungsdienste (Artikel 15)",EAFRD _&_ National,2,,
5,lgv sonnengemüse eingetragene genossenschaft,3358307.76,0.0017217642182105048,WIEN,b905eca258259a1dbfdbe2f2d3573800a95c6327,IV.5 Beihilfen im Sektor Obst und Gemüse (Kapitel II Abschnitt 3) EAGF,Beihilfen im Sektor Obst und Gemüse (Kapitel II Abschnitt 3),EAGF,1,,
6,nwk-kulinarik gmbh,3154018.9,0.00161702776328625,WIEN,ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4,VI.21 Zusammenarbeit (Artikel 35) EAFRD _&_ VI.21 Zusammenarbeit (Artikel 35) National,Zusammenarbeit (Artikel 35),EAFRD _&_ National,2,,
7,sos-kinderdorf,3090364.48,0.0015843929035535187,INNSBRUCK,ba90013a92ee3fa1895b18b70992e7a25e867a0b,"I.7 - Specific support – Title III, Chapter 5",Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20),National _&_ EAFRD,2,,
8,jugend am werk steiermark,2938325.7,0.0015064444396568153,GRAZ,ba90013a92ee3fa1895b18b70992e7a25e867a0b,"I.7 - Specific support – Title III, Chapter 5",Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20),National _&_ EAFRD,2,,
9,waldpflegeverein tirol,2748400.74,0.0014090721844490135,INNSBRUCK,bd065481240836afd5ed455a4f9c64d129f1968d _&_ 96e830420e116b9c67d7761fcd217e51d748257a,"VI.8 Investitionen in die Entwicklung von Waldgebieten und Verbesserung der Lebensfähigkeit von Wäldern (Artikel 21, Artikel 22 bis 26) National _&_ VI.8 Investitionen in die Entwicklung von Waldgebieten und Verbesserung der Lebensfähigkeit von Wäldern (Artikel 21, Artikel 22 bis 26) EAFRD _&_ I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
","Investitionen in die Entwicklung von Waldgebieten und Verbesserung der Lebensfähigkeit von Wäldern (Artikel 21, Artikel 22 bis 26) _&_ Investitionen in materielle Vermögenswerte (Artikel 17)",National _&_ EAFRD,4,,
10,ländliches fortbildungsinstitut niederösterreich - lfi nö,2316283.27,0.0011875307263458253,SANKT PÖLTEN,9e328d254aa6157ee3b4f7985edba31e37f7e706,I.1 - Single payment scheme – Title III,Wissenstransfer und Informationsmaßnahmen (Artikel 14),National _&_ EAFRD,2,,
11,marktgemeinde kirchberg am wechsel,2261120.93,0.0011592496544512228,KIRCHBERG AM WECHSEL,ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ 96e830420e116b9c67d7761fcd217e51d748257a,"I.7 - Specific support – Title III, Chapter 5 _&_ I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
",Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20) _&_ Investitionen in materielle Vermögenswerte (Artikel 17),National _&_ EAFRD,4,,
12,"österreichische arbeitsgemeinschaft der heumilchbauern, der verarbeiter und der vermarkter von heumilch, kurz: arge heumilch österreich",2218407.36,0.001137350918029868,STRASSWALCHEN,f510340646fb02cac7ff4b7d8bc441861c1a3810,"I.3 - Aid for sugar beet and cane producers – Title IV, Chapter 1, Section 7",Qualitätsregelungen für Agrarerzeugnisse und Lebensmittel (Artikel 16),National _&_ EAFRD,2,,
13,"bundesforschungs- und ausbildungszentrum für wald, naturgefahren und landschaft",2065885.42,0.0010591547437804748,WIEN,9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ bd065481240836afd5ed455a4f9c64d129f1968d,"I.1 - Single payment scheme – Title III _&_ I.7 - Specific support – Title III, Chapter 5 _&_ VI.8 Investitionen in die Entwicklung von Waldgebieten und Verbesserung der Lebensfähigkeit von Wäldern (Artikel 21, Artikel 22 bis 26) EAFRD _&_ VI.8 Investitionen in die Entwicklung von Waldgebieten und Verbesserung der Lebensfähigkeit von Wäldern (Artikel 21, Artikel 22 bis 26) National","Wissenstransfer und Informationsmaßnahmen (Artikel 14) _&_ Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20) _&_ Investitionen in die Entwicklung von Waldgebieten und Verbesserung der Lebensfähigkeit von Wäldern (Artikel 21, Artikel 22 bis 26)",EAFRD _&_ National,6,,
14,"ländliches fortbildungsinstitut österreich, kurz lfi österreich",2057257.73,0.0010547314303174429,WIEN,9e328d254aa6157ee3b4f7985edba31e37f7e706,I.1 - Single payment scheme – Title III,Wissenstransfer und Informationsmaßnahmen (Artikel 14),EAFRD _&_ National,2,,
