rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,scheme_1,counts,latitude,longitude
1,the hen harrier project ltd,8846769.1,0.005408666264811431,GALWAY,782a9630f4aff0ef3a76b1aadd90a1c1ed3edbbf _&_ 2a4c30ba502cf1256d5fc0ea0fe1d79b161db3c8 _&_ 1fb06e50225d686b2a68813c36132e845868c69e _&_ 43dd551d853ad417d4b800e54533c2871470d4b5,Co-Operation EAFRD _&_ V.7 EAFRD _&_ V.7 National _&_ Technical Assistance EAFRD EAFRD,Co-Operation _&_ V.7 _&_ Technical Assistance EAFRD,EAFRD _&_ National,4,,
2,animal health ire initiative,4772172.16,0.00291757208534631,LEITRIM,35ef987632dd1c8c599a881a8009272f9443e627,"Advisory Service, Farm Management & Relief EAFRD","Advisory Service, Farm Management & Relief",EAFRD,1,,
3,cawood scientific limited,4123707.56,0.002521119033808609,OUTSIDE IRELAND,43dd551d853ad417d4b800e54533c2871470d4b5,Technical Assistance EAFRD EAFRD,Technical Assistance EAFRD,EAFRD,1,,
4,w c c p limited,3467341.14,0.0021198350313574713,KERRY,2a4c30ba502cf1256d5fc0ea0fe1d79b161db3c8 _&_ 43dd551d853ad417d4b800e54533c2871470d4b5 _&_ 1fb06e50225d686b2a68813c36132e845868c69e,V.7 EAFRD _&_ Technical Assistance EAFRD EAFRD _&_ V.7 National,V.7 _&_ Technical Assistance EAFRD,EAFRD _&_ National,3,,
5,bord bia,3083666.87,0.0018852673538959728,DUBLIN,501cc10a6087826f77af53bbacf0dab437e6f2da _&_ e6bbf0ed65c303112de7523318b53bb8c8a5ca39,Food Promotion EAGF _&_ School Fruit Veg & Milk Scheme EAGF,Food Promotion _&_ School Fruit Veg & Milk Scheme,EAGF,2,,
6,the pearl mussel project,2725486.99,0.001666286230754621,KERRY,782a9630f4aff0ef3a76b1aadd90a1c1ed3edbbf,Co-Operation EAFRD,Co-Operation,EAFRD,1,,
7,tipperary lcdc,2669455.72,0.0016320302852904694,TIPPERARY,6445c1cd04b30187c652ef54ea0934bd6ecd5dad,Leader Quality of Life and Diversification EAFRD,Leader Quality of Life and Diversification,EAFRD,1,,
8,laois lcdc,2474706.3,0.0015129659572697919,LAOIS,6445c1cd04b30187c652ef54ea0934bd6ecd5dad,Leader Quality of Life and Diversification EAFRD,Leader Quality of Life and Diversification,EAFRD,1,,
9,mayo lcdc,2441518.32,0.001492675758012389,MAYO,6445c1cd04b30187c652ef54ea0934bd6ecd5dad,Leader Quality of Life and Diversification EAFRD,Leader Quality of Life and Diversification,EAFRD,1,,
10,clare local development company clg,2356893.94,0.0014409387878131122,CLARE,6445c1cd04b30187c652ef54ea0934bd6ecd5dad,Leader Quality of Life and Diversification EAFRD,Leader Quality of Life and Diversification,EAFRD,1,,
11,teagasc,2218075.02,0.0013560687973075889,CARLOW,7373e6ed9e0ac3e8f432f0e7620dfc9ac0531614 _&_ 35ef987632dd1c8c599a881a8009272f9443e627 _&_ 782a9630f4aff0ef3a76b1aadd90a1c1ed3edbbf _&_ f01c02d459ced23bb4b6acfc501bdf08950f6831 _&_ 19b7fc23724600f159b4b18568836e380913f68d _&_ 80d0e11dfbdb22186b9118eb10b919a54d28bb0d _&_ a72710e0cb04ff1be5b418c643ec42b847aba533,"Knowledge Transfer & Information Actions EAFRD _&_ Advisory Service, Farm Management & Relief EAFRD _&_ Co-Operation EAFRD _&_ Direct Payments EAGF _&_ Agri Environment Climate EAFRD _&_ Areas facing Natural/Specific Constraints EAFRD _&_ Animal Welfare EAFRD","Knowledge Transfer & Information Actions _&_ Advisory Service, Farm Management & Relief _&_ Co-Operation _&_ Direct Payments _&_ Agri Environment Climate _&_ Areas facing Natural/Specific Constraints _&_ Animal Welfare",EAFRD _&_ EAGF,26,,
12,longford lcdc,2115371.68,0.0012932788585104456,LONGFORD,6445c1cd04b30187c652ef54ea0934bd6ecd5dad,Leader Quality of Life and Diversification EAFRD,Leader Quality of Life and Diversification,EAFRD,1,,
