rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_1,counts,latitude,longitude
1,"as ""attīstības finanšu institūcija altum",7500540.6,0.014299771463052145,Rīga,fd194209a0f99aecd4bd45346022d967b53f5c1f _&_ d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05,"I.6 - Crop-specific payment for cotton – Title IV, Chapter 1 Section 6 _&_ II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3",EAFRD _&_ National _&_ EAGF,4,,
2,tpi zemkopības ministrija,5671015.359999999,0.010811783834815637,Rīga,c0e4522846c6c3fb0cd25d5e0bdd284205617a80,VI.25 EAFRD _&_ VI.25 National,EAFRD _&_ National,2,,
3,tpi lauku atbalsta dienests,4940264.300000001,0.00941860783435734,Rīga,c0e4522846c6c3fb0cd25d5e0bdd284205617a80,VI.25 EAFRD _&_ VI.25 National,EAFRD _&_ National,2,,
4,"sia valsts sabiedrība ar ierobežotu atbildību ""zemkopības ministrijas nekustamie īpašumi",4527308.72,0.008631308527105783,Rīga,96e830420e116b9c67d7761fcd217e51d748257a,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
",EAFRD _&_ National,2,,
5,"sia ""latvijas lauku konsultāciju un izglītības centrs",2372072.5900000003,0.004522353486196741,Jelgavas nov.,9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05,"I.1 - Single payment scheme – Title III _&_ I.2 - Single area payment scheme – Title V, Chapter 2 _&_ VI.21 EAFRD _&_ VI.21 National _&_ II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3",EAFRD _&_ National _&_ EAGF,8,,
6,"sia agrofirma ""turība",1601495.78,0.003053249742164243,Preiļu nov.,96e830420e116b9c67d7761fcd217e51d748257a _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 040d5cbeb296c0c665bc820cc81fed686ed82716 _&_ 0085061858c2f35b3ef2ce168a8cd7dfc241df93,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ II.10 - Reimbursement of appropriations carried over from financial  year N-1 (financial year in which financial discipline adjustment apply) - Art.26(5) of Regulation (EU) No 1306/2013 _&_ VI.22 EAFRD _&_ VI.22 National",EAFRD _&_ National _&_ EAGF,8,,
7,"ks lauksaimniecības pakalpojumu kooperatīvā sabiedrība ""latraps",1412578.8,0.0026930797512851865,Jelgavas nov.,96e830420e116b9c67d7761fcd217e51d748257a,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
",EAFRD _&_ National,2,,
8,"as ""dobeles dzirnavnieks",1400000.0,0.0026690982844987205,Dobeles nov.,96e830420e116b9c67d7761fcd217e51d748257a,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
",EAFRD _&_ National,2,,
9,sia ingleby dobele agro,1394738.11,0.0026590664976614197,Dobeles nov.,d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ 040d5cbeb296c0c665bc820cc81fed686ed82716 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 96e830420e116b9c67d7761fcd217e51d748257a,"II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ II.10 - Reimbursement of appropriations carried over from financial  year N-1 (financial year in which financial discipline adjustment apply) - Art.26(5) of Regulation (EU) No 1306/2013 _&_ VI.15 EAFRD _&_ VI.15 National _&_ I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
",EAGF _&_ EAFRD _&_ National,7,,
10,sia sprūževa m,1266306.97,0.0024142126866255518,Rēzeknes nov.,96e830420e116b9c67d7761fcd217e51d748257a _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 91ca7a8751c15dac4a4b91f46ec736d9f8002557 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 040d5cbeb296c0c665bc820cc81fed686ed82716,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ V.6 EAFRD _&_ VI.15 EAFRD _&_ VI.15 National _&_ II.10 - Reimbursement of appropriations carried over from financial  year N-1 (financial year in which financial discipline adjustment apply) - Art.26(5) of Regulation (EU) No 1306/2013 _&_ V.6 National",EAFRD _&_ EAGF _&_ National,10,,
