rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_1,counts,latitude,longitude
1,"as ""attīstības finanšu institūcija altum",7500540.6,0.014226690122225933,Rīga,96e830420e116b9c67d7761fcd217e51d748257a _&_ fd194209a0f99aecd4bd45346022d967b53f5c1f _&_ d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ I.6 - Crop-specific payment for cotton – Title IV, Chapter 1 Section 6 _&_ II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3",EAFRD _&_ EAGF,4,,
2,tpi zemkopības ministrija,5671015.36,0.010756528430111231,Rīga,c0e4522846c6c3fb0cd25d5e0bdd284205617a80,VI.25 EAFRD,EAFRD,1,,
3,tpi lauku atbalsta dienests,4940264.3,0.009370472485409306,Rīga,c0e4522846c6c3fb0cd25d5e0bdd284205617a80,VI.25 EAFRD,EAFRD,1,,
4,"sia valsts sabiedrība ar ierobežotu atbildību ""zemkopības ministrijas nekustamie īpašumi",4527308.72,0.008587196801133418,Rīga,96e830420e116b9c67d7761fcd217e51d748257a,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
",EAFRD,1,,
5,"sia ""latvijas lauku konsultāciju un izglītības centrs",2372072.59,0.004499241252737954,Jelgavas nov.,9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05,"I.1 - Single payment scheme – Title III _&_ I.2 - Single area payment scheme – Title V, Chapter 2 _&_ VI.21 EAFRD _&_ II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3",EAFRD _&_ EAGF,5,,
6,"sia agrofirma ""turība",1601495.78,0.003037645605719742,Preiļu nov.,96e830420e116b9c67d7761fcd217e51d748257a _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 040d5cbeb296c0c665bc820cc81fed686ed82716 _&_ 0085061858c2f35b3ef2ce168a8cd7dfc241df93,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ II.10 - Reimbursement of appropriations carried over from financial  year N-1 (financial year in which financial discipline adjustment apply) - Art.26(5) of Regulation (EU) No 1306/2013 _&_ VI.22 EAFRD",EAFRD _&_ EAGF,6,,
7,"ks lauksaimniecības pakalpojumu kooperatīvā sabiedrība ""latraps",1412578.8,0.0026793163229895407,Jelgavas nov.,96e830420e116b9c67d7761fcd217e51d748257a,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
",EAFRD,1,,
8,as dobeles dzirnavnieks,1400000.0,0.002655457417444858,Dobeles nov.,96e830420e116b9c67d7761fcd217e51d748257a,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
",EAFRD,1,,
9,sia ingleby dobele agro,1394738.11,0.002645476899708945,Dobeles nov.,d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ 040d5cbeb296c0c665bc820cc81fed686ed82716 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 96e830420e116b9c67d7761fcd217e51d748257a,"II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ II.10 - Reimbursement of appropriations carried over from financial  year N-1 (financial year in which financial discipline adjustment apply) - Art.26(5) of Regulation (EU) No 1306/2013 _&_ VI.15 EAFRD _&_ I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
",EAGF _&_ EAFRD,6,,
10,sia sprūževa m,1264231.44,0.0023979376819392812,Rēzeknes nov.,96e830420e116b9c67d7761fcd217e51d748257a _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 91ca7a8751c15dac4a4b91f46ec736d9f8002557 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 040d5cbeb296c0c665bc820cc81fed686ed82716,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ V.6 EAFRD _&_ VI.15 EAFRD _&_ II.10 - Reimbursement of appropriations carried over from financial  year N-1 (financial year in which financial discipline adjustment apply) - Art.26(5) of Regulation (EU) No 1306/2013 _&_ V.6 National",EAFRD _&_ EAGF _&_ National,8,,
