rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,scheme_1,counts,latitude,longitude
1,junta de comunidades de castilla-la mancha,62072576.39,0.008150609694588324,45071 - Toledo,bd065481240836afd5ed455a4f9c64d129f1968d _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ 141bc77784b65c7c4d14bce3d0ba4f914978ff7c _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 06b92185bd05ac6a8972f8629ccdc1f3d2c6b68a,"VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques EAFRD _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques National _&_ I.7 - Specific support – Title III, Chapter 5 _&_ VI.25 VI.25 Asistencia técnica EAFRD _&_ I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ IV.3 IV.3 El programa escolar de la UE, los programas de fruta y de leche en los centros escolares EAGF _&_ VI.25 VI.25 Asistencia técnica National _&_ I.1 - Single payment scheme – Title III _&_ VI.20 VI.20 Servicios silvoambientales y climáticos y la conservación de los bosques EAFRD _&_ VI.20 VI.20 Servicios silvoambientales y climáticos y la conservación de los bosques National","VI.8   Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques _&_ VI.7   Servicios básicos y renovación de poblaciones en las zonas rurales _&_ VI.25   Asistencia técnica _&_ VI.4   Inversiones en activos físicos _&_ IV.3   El programa escolar de la UE, los programas de fruta y de leche en los centros escolares _&_ VI.1   Transferencia de conocimientos y actividades de información _&_ VI.20   Servicios silvoambientales y climáticos y la conservación de los bosques",EAFRD _&_ National _&_ EAGF,13,,
2,junta de andalucia,51200300.5,0.006722995723573114,41012 - Sevilla,bd065481240836afd5ed455a4f9c64d129f1968d _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ 141bc77784b65c7c4d14bce3d0ba4f914978ff7c _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ e99ac5c92087b6643b7cb36921f4809df25e566f _&_ 2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ a467ecf0b834f66a211d9ab7a9a6abf3cd81c4e5 _&_ 10ec67b4d1a49d8ef9defb485e8f4c84d55a8fa3 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ a9e14611655110e49905d254e7f5a760d551c3ed _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ 040d5cbeb296c0c665bc820cc81fed686ed82716 _&_ e494e36044d922b6495fa5ab9f9bb797de6a1a91 _&_ 4faa1e69e1865f3c356ae2ed5b45139089ed5ece _&_ ec00d1395dc58b565abc70500f4602c53747efb1 _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 79a4b03fd4f32f274cf0cb6c8e41717ff669e4d5 _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ 4fe32c61105e0421457f32fc9d3b0d0c69af754b _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ 07ecd204fce13940dcbb6253d091a10659cddac8 _&_ 96e830420e116b9c67d7761fcd217e51d748257a,"VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques EAFRD _&_ VI.25 VI.25 Asistencia técnica EAFRD _&_ I.7 - Specific support – Title III, Chapter 5 _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques National _&_ IV.3 IV.3 El programa escolar de la UE, los programas de fruta y de leche en los centros escolares EAGF _&_ VI.25 VI.25 Asistencia técnica National _&_ I.1 - Single payment scheme – Title III _&_ II.11 II.11 Recuperaciones EAGF _&_ I.2 - Single area payment scheme – Title V, Chapter 2 _&_ V.7 V.7 Cooperación EAFRD _&_ V.4 V.4 Inversiones, incluidas las inversiones en infraestructuras de riego EAFRD _&_ V.7 V.7 Cooperación National _&_ V.4 V.4 Inversiones, incluidas las inversiones en infraestructuras de riego National _&_ VI.15 VI.15 Medida agroambiental y climática EAFRD _&_ V.5 V.5 Establecimiento de jóvenes agricultores, nuevos agricultores y puesta en marcha de nuevas empresas rurales EAFRD _&_ VI.15 VI.15 Medida agroambiental y climática National _&_ V.1 V.1 Compromisos medioambientales y climáticos y otros compromisos de gestión EAFRD _&_ V.5 V.5 Establecimiento de jóvenes agricultores, nuevos agricultores y puesta en marcha de nuevas empresas rurales National _&_ II.10 - Reimbursement of appropriations carried over from financial  year N-1 (financial year in which financial discipline adjustment apply) - Art.26(5) of Regulation (EU) No 1306/2013 _&_ II.1 - Basic payment scheme - Title III, Sections 1, 2, 3 and 5 _&_ V.1 V.1 Compromisos medioambientales y climáticos y otros compromisos de gestión National _&_ V.2 V.2 Zonas con limitaciones naturales u otras limitaciones específicas EAFRD _&_ VI.16 VI.16 Agricultura ecológica EAFRD _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ II.8 - Crop-specific payment for cotton –  Title IV, Chapter 2 _&_ V.2 V.2 Zonas con limitaciones naturales u otras limitaciones específicas National _&_ VI.16 VI.16 Agricultura ecológica National _&_ VI.18 VI.18 Ayuda a zonas con limitaciones naturales u otras limitaciones específicas EAFRD _&_ V.8 V.8 Intercambio de conocimientos y difusión de información EAFRD _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ V.8 V.8 Intercambio de conocimientos y difusión de información National _&_ VI.18 VI.18 Ayuda a zonas con limitaciones naturales u otras limitaciones específicas National _&_ I.5 - Premiums in the sheep meat and goat meat sector –  Title IV, Chapter 1, Section 10 _&_ I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
","VI.8   Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques _&_ VI.25   Asistencia técnica _&_ VI.7   Servicios básicos y renovación de poblaciones en las zonas rurales _&_ IV.3   El programa escolar de la UE, los programas de fruta y de leche en los centros escolares _&_ VI.1   Transferencia de conocimientos y actividades de información _&_ II.11   Recuperaciones _&_ VI.2   Servicios de asesoramiento, gestión y sustitución de explotaciones agrarias _&_ V.7   Cooperación _&_ V.4   Inversiones, incluidas las inversiones en infraestructuras de riego _&_ VI.15   Medida agroambiental y climática _&_ V.5   Establecimiento de jóvenes agricultores, nuevos agricultores y puesta en marcha de nuevas empresas rurales _&_ V.1   Compromisos medioambientales y climáticos y otros compromisos de gestión _&_ II.10   Medidas establecidas en el anexo I del Reglamento 73/2009 _&_ II.1   Régimen de pago básico _&_ V.2   Zonas con limitaciones naturales u otras limitaciones específicas _&_ VI.16   Agricultura ecológica _&_ II.4   Pago para prácticas agrícolas beneficiosas para el clima y el medio ambiente _&_ II.8   Pago específico al cultivo de algodón _&_ VI.18   Ayuda a zonas con limitaciones naturales u otras limitaciones específicas _&_ V.8   Intercambio de conocimientos y difusión de información _&_ II.7   Ayuda asociada voluntaria _&_ VI.5   Recuperación del potencial de producción agrícola dañado por desastres naturales e implantación de medidas preventivas adecuadas _&_ VI.4   Inversiones en activos físicos",EAFRD _&_ National _&_ EAGF,39,,
3,xunta de galicia,47874895.27,0.0062863442796926685,15781 - Santiago de Compostela,bd065481240836afd5ed455a4f9c64d129f1968d _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ 06b92185bd05ac6a8972f8629ccdc1f3d2c6b68a _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32,"VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques EAFRD _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques National _&_ I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ VI.25 VI.25 Asistencia técnica EAFRD _&_ I.7 - Specific support – Title III, Chapter 5 _&_ VI.25 VI.25 Asistencia técnica National _&_ VI.20 VI.20 Servicios silvoambientales y climáticos y la conservación de los bosques EAFRD _&_ VI.21 VI.21 Cooperación EAFRD _&_ I.1 - Single payment scheme – Title III _&_ VI.15 VI.15 Medida agroambiental y climática EAFRD _&_ VI.20 VI.20 Servicios silvoambientales y climáticos y la conservación de los bosques National _&_ VI.21 VI.21 Cooperación National _&_ VI.15 VI.15 Medida agroambiental y climática National",VI.8   Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques _&_ VI.4   Inversiones en activos físicos _&_ VI.25   Asistencia técnica _&_ VI.7   Servicios básicos y renovación de poblaciones en las zonas rurales _&_ VI.20   Servicios silvoambientales y climáticos y la conservación de los bosques _&_ VI.21   Cooperación _&_ VI.1   Transferencia de conocimientos y actividades de información _&_ VI.15   Medida agroambiental y climática,EAFRD _&_ National,16,,
4,junta de extremadura,45739308.7,0.006005925234546045,06800 - Mérida,96e830420e116b9c67d7761fcd217e51d748257a _&_ bd065481240836afd5ed455a4f9c64d129f1968d _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ 141bc77784b65c7c4d14bce3d0ba4f914978ff7c _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 06b92185bd05ac6a8972f8629ccdc1f3d2c6b68a _&_ e494e36044d922b6495fa5ab9f9bb797de6a1a91 _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ 2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ 0746364c516c8411be095d64938625686f815012 _&_ bfd7999dec4df79b6a6a58185829b3d8c130264b _&_ e99ac5c92087b6643b7cb36921f4809df25e566f,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques EAFRD _&_ VI.25 VI.25 Asistencia técnica EAFRD _&_ I.7 - Specific support – Title III, Chapter 5 _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques National _&_ VI.25 VI.25 Asistencia técnica National _&_ IV.3 IV.3 El programa escolar de la UE, los programas de fruta y de leche en los centros escolares EAGF _&_ I.1 - Single payment scheme – Title III _&_ VI.15 VI.15 Medida agroambiental y climática EAFRD _&_ VI.20 VI.20 Servicios silvoambientales y climáticos y la conservación de los bosques EAFRD _&_ II.1 - Basic payment scheme - Title III, Sections 1, 2, 3 and 5 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ VI.15 VI.15 Medida agroambiental y climática National _&_ VI.20 VI.20 Servicios silvoambientales y climáticos y la conservación de los bosques National _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ I.2 - Single area payment scheme – Title V, Chapter 2 _&_ II.12 II.12 Reembolso de créditos prorrogados del ejercicio anterior EAGF _&_ VI.22b VI.22b Ayuda temporal excepcional destinada a los agricultores y a las pymes especialmente afectados por la invasión de Ucrania por parte de Rusia EAFRD _&_ II.11 II.11 Recuperaciones EAGF _&_ VI.22b VI.22b Ayuda temporal excepcional destinada a los agricultores y a las pymes especialmente afectados por la invasión de Ucrania por parte de Rusia National","VI.4   Inversiones en activos físicos _&_ VI.8   Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques _&_ VI.25   Asistencia técnica _&_ VI.7   Servicios básicos y renovación de poblaciones en las zonas rurales _&_ IV.3   El programa escolar de la UE, los programas de fruta y de leche en los centros escolares _&_ VI.1   Transferencia de conocimientos y actividades de información _&_ VI.15   Medida agroambiental y climática _&_ VI.20   Servicios silvoambientales y climáticos y la conservación de los bosques _&_ II.1   Régimen de pago básico _&_ II.4   Pago para prácticas agrícolas beneficiosas para el clima y el medio ambiente _&_ II.7   Ayuda asociada voluntaria _&_ VI.2   Servicios de asesoramiento, gestión y sustitución de explotaciones agrarias _&_ II.12   Reembolso de créditos prorrogados del ejercicio anterior _&_ VI.22b   Ayuda temporal excepcional destinada a los agricultores y a las pymes especialmente afectados por la invasión de Ucrania por parte de Rusia _&_ II.11   Recuperaciones",EAFRD _&_ National _&_ EAGF,24,,
5,junta de castilla y león,32773954.52,0.004303473884543699,47014 - Valladolid,96e830420e116b9c67d7761fcd217e51d748257a _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ 141bc77784b65c7c4d14bce3d0ba4f914978ff7c _&_ bd065481240836afd5ed455a4f9c64d129f1968d,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ I.7 - Specific support – Title III, Chapter 5 _&_ VI.25 VI.25 Asistencia técnica EAFRD _&_ VI.25 VI.25 Asistencia técnica National _&_ IV.3 IV.3 El programa escolar de la UE, los programas de fruta y de leche en los centros escolares EAGF _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques EAFRD _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques National","VI.4   Inversiones en activos físicos _&_ VI.7   Servicios básicos y renovación de poblaciones en las zonas rurales _&_ VI.25   Asistencia técnica _&_ IV.3   El programa escolar de la UE, los programas de fruta y de leche en los centros escolares _&_ VI.8   Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques",EAFRD _&_ National _&_ EAGF,9,,
6,instituto tecnológico agrario de castill,25347769.13,0.0033283582674111176,47014 - Valladolid,96e830420e116b9c67d7761fcd217e51d748257a _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 07ecd204fce13940dcbb6253d091a10659cddac8,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ VI.21 VI.21 Cooperación EAFRD _&_ I.5 - Premiums in the sheep meat and goat meat sector –  Title IV, Chapter 1, Section 10 _&_ VI.21 VI.21 Cooperación National",VI.4   Inversiones en activos físicos _&_ VI.21   Cooperación _&_ VI.5   Recuperación del potencial de producción agrícola dañado por desastres naturales e implantación de medidas preventivas adecuadas,EAFRD _&_ National,6,,
7,principado de asturias,18517226.1,0.0024314551021577782,33002 - Oviedo,96e830420e116b9c67d7761fcd217e51d748257a _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ bd065481240836afd5ed455a4f9c64d129f1968d,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ I.7 - Specific support – Title III, Chapter 5 _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques EAFRD _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques National",VI.4   Inversiones en activos físicos _&_ VI.7   Servicios básicos y renovación de poblaciones en las zonas rurales _&_ VI.8   Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques,EAFRD _&_ National,6,,
8,gobierno de aragón,17970541.92,0.0023596712382274276,50071 - Zaragoza,96e830420e116b9c67d7761fcd217e51d748257a _&_ bd065481240836afd5ed455a4f9c64d129f1968d _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ 2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ 141bc77784b65c7c4d14bce3d0ba4f914978ff7c _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 06b92185bd05ac6a8972f8629ccdc1f3d2c6b68a,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques EAFRD _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques National _&_ VI.25 VI.25 Asistencia técnica EAFRD _&_ VI.25 VI.25 Asistencia técnica National _&_ I.2 - Single area payment scheme – Title V, Chapter 2 _&_ I.7 - Specific support – Title III, Chapter 5 _&_ IV.3 IV.3 El programa escolar de la UE, los programas de fruta y de leche en los centros escolares EAGF _&_ I.1 - Single payment scheme – Title III _&_ VI.20 VI.20 Servicios silvoambientales y climáticos y la conservación de los bosques EAFRD _&_ VI.20 VI.20 Servicios silvoambientales y climáticos y la conservación de los bosques National","VI.4   Inversiones en activos físicos _&_ VI.8   Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques _&_ VI.25   Asistencia técnica _&_ VI.2   Servicios de asesoramiento, gestión y sustitución de explotaciones agrarias _&_ VI.7   Servicios básicos y renovación de poblaciones en las zonas rurales _&_ IV.3   El programa escolar de la UE, los programas de fruta y de leche en los centros escolares _&_ VI.1   Transferencia de conocimientos y actividades de información _&_ VI.20   Servicios silvoambientales y climáticos y la conservación de los bosques",EAFRD _&_ National _&_ EAGF,15,,
9,"d.g. de desarrollo rural, innovación y f",17014377.56,0.002234119457465652,28005 - Madrid,96e830420e116b9c67d7761fcd217e51d748257a _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ fd194209a0f99aecd4bd45346022d967b53f5c1f _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ bd065481240836afd5ed455a4f9c64d129f1968d,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ I.7 - Specific support – Title III, Chapter 5 _&_ I.6 - Crop-specific payment for cotton – Title IV, Chapter 1 Section 6 _&_ VI.25 VI.25 Asistencia técnica EAFRD _&_ VI.25 VI.25 Asistencia técnica National _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques National _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques EAFRD",VI.4   Inversiones en activos físicos _&_ VI.7   Servicios básicos y renovación de poblaciones en las zonas rurales _&_ VI.6   Desarrollo de explotaciones agrícolas y empresas _&_ VI.25   Asistencia técnica _&_ VI.8   Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques,EAFRD _&_ National,10,,
10,"dirección general de biodiversidad, bosq",15915598.46,0.00208984125756619,28003 - Madrid,bd065481240836afd5ed455a4f9c64d129f1968d _&_ 06b92185bd05ac6a8972f8629ccdc1f3d2c6b68a,VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques EAFRD _&_ VI.8 VI.8 Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques National _&_ VI.20 VI.20 Servicios silvoambientales y climáticos y la conservación de los bosques EAFRD _&_ VI.20 VI.20 Servicios silvoambientales y climáticos y la conservación de los bosques National,VI.8   Inversiones en el desarrollo de zonas forestales y la mejora de la viabilidad de los bosques _&_ VI.20   Servicios silvoambientales y climáticos y la conservación de los bosques,EAFRD _&_ National,4,,
