rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_1,counts,latitude,longitude
1,põllumajanduse registrite ja informatsiooni amet,3650811.81,0.011671896315445754,TARTU LINN,c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ 4fe32c61105e0421457f32fc9d3b0d0c69af754b,20. Tehniline abi _&_ 0.1 Teadmussiirde- ja innovatsioonisüsteemi (AKIS) arendamise toetus,EAFRD _&_ National,4,,
2,as e-piim tootmine,3028257.24,0.009681546560401296,JÄRVA VALD,96e830420e116b9c67d7761fcd217e51d748257a _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4,4.2 Investeeringud põllumajandustoodete töötlemiseks ja turustamiseks _&_ 16. Koostöö,EAFRD _&_ National,4,,
3,maaelu teadmuskeskus,2722971.22,0.008705526168927023,JÕGEVA VALD,9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ 7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 4fe32c61105e0421457f32fc9d3b0d0c69af754b _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ f5be9436f792236113ec36aca52ce84ec60e04a0,1. Teadmussiire ja teavitus _&_ 4.1 Investeeringud põllumajandusettevõtte tulemuslikkuse parandamiseks _&_ 1.1 Põhiline sissetulekutoetus jätkusuutlikkuseks _&_ 0.1 Teadmussiirde- ja innovatsioonisüsteemi (AKIS) arendamise toetus _&_ 1.6 Põllumajandustootmisega seotud toetus tera- ja kaunviljakultuuride kasvatamiseks _&_ 1.2 Täiendav ümberjaotav sissetulekutoetus jätkusuutlikkuseks,EAFRD _&_ EAGF _&_ National,9,,
4,maag agro as,2090790.0,0.00668439935209118,VILJANDI VALD,267c6286a2fa8897d037c04ac17950a4f3b954b8,9.1 Loomade heaolu toetus,EAFRD _&_ National,2,,
5,aktsiaselts väätsa agro,1470940.61,0.00470269824346233,TÜRI VALD,7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ 593be1ac8b242936da4efe3e6025abf25b84019a _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ 0085061858c2f35b3ef2ce168a8cd7dfc241df93 _&_ f5be9436f792236113ec36aca52ce84ec60e04a0,1.1 Põhiline sissetulekutoetus jätkusuutlikkuseks _&_ 4.1 Investeeringud põllumajandusettevõtte tulemuslikkuse parandamiseks _&_ ÖK1 Kliima- ja keskkonnakava: keskkonnasõbralik majandamine _&_ 9.3 Loomade tervist edendavate kõrgemate majandamisnõuete toetus _&_ 1.3 Põllumajandustootmisega seotud toetus piimalehma kasvatamiseks _&_ 17. Riskijuhtimine _&_ KK4 Mulla- ja veekaitsetoetus _&_ 1.6 Põllumajandustootmisega seotud toetus tera- ja kaunviljakultuuride kasvatamiseks _&_ 1.2 Täiendav ümberjaotav sissetulekutoetus jätkusuutlikkuseks _&_ ÖK4 Kliima- ja keskkonnakava: ökosüsteemiteenuste säilitamine põllumaal,EAGF _&_ EAFRD _&_ National,14,,
6,osaühing härjanurme mõis,1092825.29,0.0034938375735606426,JÕGEVA VALD,96e830420e116b9c67d7761fcd217e51d748257a _&_ 7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ f5be9436f792236113ec36aca52ce84ec60e04a0 _&_ 593be1ac8b242936da4efe3e6025abf25b84019a,4.1 Investeeringud põllumajandusettevõtte tulemuslikkuse parandamiseks _&_ 1.1 Põhiline sissetulekutoetus jätkusuutlikkuseks _&_ 1.3 Põllumajandustootmisega seotud toetus piimalehma kasvatamiseks _&_ 9.3 Loomade tervist edendavate kõrgemate majandamisnõuete toetus _&_ 1.2 Täiendav ümberjaotav sissetulekutoetus jätkusuutlikkuseks _&_ ÖK4 Kliima- ja keskkonnakava: ökosüsteemiteenuste säilitamine põllumaal,EAFRD _&_ EAGF _&_ National,8,,
7,põllumajandus- ja toiduamet,1088465.86,0.0034799001761809507,SAKU VALD,96e830420e116b9c67d7761fcd217e51d748257a,4.3 Põllu- ja metsamajanduse taristu arendamine ja hoid,EAFRD _&_ National,2,,
8,maaelu edendamise sihtasutus,1065816.17,0.003407487560298405,VILJANDI LINN,2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706,"2. Nõustamisteenused, põllumajandusettevõtte juhtimis- ja asendusteenused _&_ 1. Teadmussiire ja teavitus",EAFRD _&_ National,3,,
9,yook production as,1040535.45,0.003326663360647365,TÜRI VALD,96e830420e116b9c67d7761fcd217e51d748257a _&_ 12e667f2468f92e4442ccc751d739bf51c34b896,4.2 Investeeringud põllumajandustoodete töötlemiseks ja turustamiseks _&_ 19. Toetus kogukonna juhitud kohalikule arengule (LEADER),EAFRD _&_ National,4,,
10,oü laeva põld,1037318.92,0.0033163798931312677,TARTU VALD,593be1ac8b242936da4efe3e6025abf25b84019a _&_ 7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ f5be9436f792236113ec36aca52ce84ec60e04a0,ÖK2 Kliima- ja keskkonnakava: mahepõllumajanduse ökokava _&_ 1.1 Põhiline sissetulekutoetus jätkusuutlikkuseks _&_ ÖK1 Kliima- ja keskkonnakava: keskkonnasõbralik majandamine _&_ 4.1 Investeeringud põllumajandusettevõtte tulemuslikkuse parandamiseks _&_ ÖK3 Kliima- ja keskkonnakava: ökoalad _&_ 4.3 Põllu- ja metsamajanduse taristu arendamine ja hoid _&_ ÖK4 Kliima- ja keskkonnakava: ökosüsteemiteenuste säilitamine põllumaal _&_ 1.6 Põllumajandustootmisega seotud toetus tera- ja kaunviljakultuuride kasvatamiseks _&_ 1.2 Täiendav ümberjaotav sissetulekutoetus jätkusuutlikkuseks,EAGF _&_ EAFRD _&_ National,11,,
