rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_1,counts,latitude,longitude
1,ei saatavilla,986876983.23,0.6494253352172177,NOUSIAINEN,267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ 4faa1e69e1865f3c356ae2ed5b45139089ed5ece _&_ 7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 593be1ac8b242936da4efe3e6025abf25b84019a _&_ e4d748eaa688f665fb03117efc06b45103571f46 _&_ a9e14611655110e49905d254e7f5a760d551c3ed _&_ fd194209a0f99aecd4bd45346022d967b53f5c1f _&_ b42ec9d695f40a196ffb2fd4456e184226889bc3 _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ 12e667f2468f92e4442ccc751d739bf51c34b896 _&_ 040d5cbeb296c0c665bc820cc81fed686ed82716 _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ ec00d1395dc58b565abc70500f4602c53747efb1 _&_ a467ecf0b834f66a211d9ab7a9a6abf3cd81c4e5 _&_ f5be9436f792236113ec36aca52ce84ec60e04a0 _&_ e494e36044d922b6495fa5ab9f9bb797de6a1a91 _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ e99ac5c92087b6643b7cb36921f4809df25e566f,"V.1 National _&_ I.6 - Crop-specific payment for cotton – Title IV, Chapter 1 Section 6 _&_ V.1 EAFRD _&_ V.2 National _&_ I.1 - Single payment scheme – Title III _&_ I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ V.2 EAFRD _&_ I.3 - Aid for sugar beet and cane producers – Title IV, Chapter 1, Section 7 _&_ V.5 National _&_ VI.19 National _&_ V.5 EAFRD _&_ VI.19 EAFRD _&_ VI.18 EAGF _&_ VI.24 EAFRD _&_ VI.24 National _&_ VI.18 National _&_ II.10* EAGF _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ VI.15 National _&_ VI.15 EAFRD _&_ VI.16 National _&_ V.7 EAFRD _&_ VI.18 EAFRD _&_ I.2 - Single area payment scheme – Title V, Chapter 2 _&_ VI.16 EAFRD _&_ II.1 - Basic payment scheme - Title III, Sections 1, 2, 3 and 5 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ II.10 - Reimbursement of appropriations carried over from financial  year N-1 (financial year in which financial discipline adjustment apply) - Art.26(5) of Regulation (EU) No 1306/2013 _&_ II.11 EAGF",National _&_ EAGF _&_ EAFRD,253517,,
2,andelslaget närpes grönsaker,2621001.74,0.0017247792405020673,NÄRPIÖ,b905eca258259a1dbfdbe2f2d3573800a95c6327,IV.5 EAGF,EAGF,1,,
3,luonnonvarakeskus,2613112.75,0.0017195878032081231,HELSINKI,ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 4faa1e69e1865f3c356ae2ed5b45139089ed5ece _&_ 7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ 593be1ac8b242936da4efe3e6025abf25b84019a _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ 12e667f2468f92e4442ccc751d739bf51c34b896 _&_ f5be9436f792236113ec36aca52ce84ec60e04a0,"VI.21 EAFRD _&_ VI.21 National _&_ I.1 - Single payment scheme – Title III _&_ V.2 National _&_ I.7 - Specific support – Title III, Chapter 5 _&_ VI.15 National _&_ I.6 - Crop-specific payment for cotton – Title IV, Chapter 1 Section 6 _&_ VI.15 EAFRD _&_ I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ V.2 EAFRD _&_ V.1 National _&_ V.1 EAFRD _&_ VI.24 EAFRD _&_ VI.24 National _&_ I.2 - Single area payment scheme – Title V, Chapter 2",EAFRD _&_ National _&_ EAGF,27,,
4,proagria itä-suomi ry,2523984.94,0.0016609362601384063,KUOPIO,4fe32c61105e0421457f32fc9d3b0d0c69af754b _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 12e667f2468f92e4442ccc751d739bf51c34b896 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706,V.8 National _&_ V.8 EAFRD _&_ VI.21 National _&_ VI.21 EAFRD _&_ VI.24 EAFRD _&_ VI.24 National _&_ I.1 - Single payment scheme – Title III,National _&_ EAFRD,12,,
5,suomen metsäkeskus - finlands skogscentral,2238367.07,0.0014729822556162962,LAHTI,9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ 12e667f2468f92e4442ccc751d739bf51c34b896,"I.1 - Single payment scheme – Title III _&_ VI.21 National _&_ VI.21 EAFRD _&_ I.7 - Specific support – Title III, Chapter 5 _&_ VI.24 National _&_ VI.24 EAFRD",National _&_ EAFRD,12,,
6,proagria etelä-suomi ry,2117071.42,0.001393162308956053,HÄMEENLINNA,4fe32c61105e0421457f32fc9d3b0d0c69af754b _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ a467ecf0b834f66a211d9ab7a9a6abf3cd81c4e5 _&_ 12e667f2468f92e4442ccc751d739bf51c34b896,V.8 National _&_ V.8 EAFRD _&_ VI.21 National _&_ VI.21 EAFRD _&_ I.1 - Single payment scheme – Title III _&_ V.7 EAFRD _&_ VI.24 National _&_ VI.24 EAFRD,National _&_ EAFRD,17,,
7,proagria etelä-pohjanmaa ry,2090527.96,0.0013756950909529484,SEINÄJOKI,4fe32c61105e0421457f32fc9d3b0d0c69af754b _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 12e667f2468f92e4442ccc751d739bf51c34b896,V.8 National _&_ V.8 EAFRD _&_ VI.21 National _&_ VI.21 EAFRD _&_ I.1 - Single payment scheme – Title III _&_ VI.24 National _&_ VI.24 EAFRD,National _&_ EAFRD,12,,
8,proagria pohjois-suomi ry,1472271.13,0.0009688443325545142,OULU,4fe32c61105e0421457f32fc9d3b0d0c69af754b _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ 2b1351297f9d38f59530bc598ff84e4da9326d77,"V.8 National _&_ V.8 EAFRD _&_ VI.21 National _&_ VI.21 EAFRD _&_ I.1 - Single payment scheme – Title III _&_ I.7 - Specific support – Title III, Chapter 5 _&_ I.2 - Single area payment scheme – Title V, Chapter 2",National _&_ EAFRD,12,,
9,valio oy,1426365.8,0.0009386358214329624,HELSINKI,141bc77784b65c7c4d14bce3d0ba4f914978ff7c,IV.3 EAGF,EAGF,1,,
10,famifarm oy,1269999.42,0.0008357371922483598,JOROINEN,96e830420e116b9c67d7761fcd217e51d748257a,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
",National _&_ EAFRD,2,,
