rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,scheme_1,counts,latitude,longitude
1,sas sucrerie du gol,30914000.0,0.0030019133481879686,SAINTE SUZANNE,d03622bd971e0109a3d04b4a5df5481259d1d49a,"II.1 - Basic payment scheme - Title III, Sections 1, 2, 3 and 5",VII.1 - Mesures prévues par le règlement (UE) no 228/2013,EAGF,1,,
2,union distilleries mediterranee,29882655.4,0.00290176431793237,VAUVERT,3617db4584f44456f45752be2b0c02efa9dfcea1 _&_ e2dbc10c466ef8f6a3c2c3ee044dce87015f5e77 _&_ babd7d2849ca5aaec91d02e828287a10a6e83cff,"080203070000038 IV.6 - Aide dans le secteur vitivinicole (chapitre II, section 4) EAGF _&_ 080201000300005 M - Mesures d'urgence EAGF _&_ III.3 - School fruit,  vegetables and  milk scheme Chapter II, Section 1","IV.6 - Aide dans le secteur vitivinicole (chapitre II, section 4) _&_ M - Mesures d'urgence _&_ III.3 - Dans le secteur vitivinicole (articles 57 à 60)",EAGF,8,,
3,sca azur distillation,17395325.35,0.0016891783452234442,MAUBEC,3617db4584f44456f45752be2b0c02efa9dfcea1 _&_ e2dbc10c466ef8f6a3c2c3ee044dce87015f5e77 _&_ babd7d2849ca5aaec91d02e828287a10a6e83cff,"080203070000038 IV.6 - Aide dans le secteur vitivinicole (chapitre II, section 4) EAGF _&_ 080201000300005 M - Mesures d'urgence EAGF _&_ III.3 - School fruit,  vegetables and  milk scheme Chapter II, Section 1","IV.6 - Aide dans le secteur vitivinicole (chapitre II, section 4) _&_ M - Mesures d'urgence _&_ III.3 - Dans le secteur vitivinicole (articles 57 à 60)",EAGF,3,,
4,departement de la reunion,16784295.31,0.0016298440878248599,SAINT DENIS,5232125023007cfc8e1decfb7fa982f0c9bcbe4f _&_ e30acc02f0d5abe3db48671caaa79afeb464e326 _&_ 84a16daa8a9eca46b4a79f3c015315daf37d26d7,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ I.7 - Specific support – Title III, Chapter 5",VI.4 - Investissements physiques (article 17) _&_ VI.7 - Services de base et rénovation des villages dans les zones rurales (article 20),EAFRD,3,,
5,sca grap'sud,16551543.88,0.0016072426896063558,CRUVIERS LASCOURS,3617db4584f44456f45752be2b0c02efa9dfcea1 _&_ e2dbc10c466ef8f6a3c2c3ee044dce87015f5e77 _&_ babd7d2849ca5aaec91d02e828287a10a6e83cff _&_ 7a312fb846085f237514ae87b36980c35421074a,"080203070000038 IV.6 - Aide dans le secteur vitivinicole (chapitre II, section 4) EAGF _&_ 080201000300005 M - Mesures d'urgence EAGF _&_ III.3 - School fruit,  vegetables and  milk scheme Chapter II, Section 1 _&_ 620000000002001 R - Reversements EAGF","IV.6 - Aide dans le secteur vitivinicole (chapitre II, section 4) _&_ M - Mesures d'urgence _&_ III.3 - Dans le secteur vitivinicole (articles 57 à 60) _&_ R - Reversements",EAGF,4,,
6,association cerafel,13828005.32,0.0013427726515145967,SAINT MARTIN DES CHAMPS,f3c62491956b0813f7af6c8adeda9a44373698fb _&_ 6e6506a39e6e75868939db6cda17b6c7011f6d45 _&_ e48033578b732b1b7cce364da700a5b8e1736db1,"III.1 - Public Intervention Chapter I, Section 2 _&_ 080203060000122 IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3) EAGF _&_ 080203060000120 IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3) EAGF","III.1 - Dans le secteur des fruits et légumes (articles 49 à 53) _&_ IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3)",EAGF,3,,
7,office national des forets,13824045.6,0.001342388141702761,CAYENNE,56b793d65d01cb38c3f7ccafb99b9f2a1e2dba95 _&_ 264d6fb58734603b240ecd1b83943b2d08b3cb36 _&_ d9e0bb84b9d9742b69424c183558f95db0e703d2 _&_ a864d978d95d66b4b19a10ab56939abd88856850 _&_ 2cf44b2fe8a7cc6dc1bcfc2d023da309ffc90779 _&_ 5232125023007cfc8e1decfb7fa982f0c9bcbe4f _&_ d729f9a05baa490810813447e28f920b77556b9d _&_ 398900fbd32c78d4e4ab1297fa1fa3d2b8376c3a _&_ 53b115feff7586849f0de24bf305bc9a75d0de0d _&_ 84a16daa8a9eca46b4a79f3c015315daf37d26d7 _&_ 14bbfb3c4fba80e5eb8972dd3f8f5b33fb12da4c _&_ ae44e2aa873d7b7632f4a0ac467f8b2c01f4f501 _&_ 0fa77edc9e72e5964aa69f55d9369ee5fa7320ac _&_ 51bcd5bd3bea66507c353d06bc2080bee7475d08 _&_ 55ec15b8bf563424decd5682528b7f62539a5f36 _&_ 99cce5fae866337f36c6a9f7b89acc648bbc876d _&_ 30bb2be3ab88ccdfad7c6b889db65fbaa680829b _&_ 67449b65119de754bc948326795c7da02864be1e _&_ d333ec533bbbae4b18abcd8e3f8dab70f3858dea _&_ 397ee0f0c57339de16d36149ca9dfbb2fea2adcb _&_ a5e67a33053b7696b01ff7358e8f3f4bd180407b _&_ 88d0c9bfdd84b3bb74b81c4aa1640d2a4e3e2a06 _&_ ac3080cb1f60ce0f2a5d3f84786b52b5a46d66dd _&_ afb485187d34a1ff7f7425a33db33f0fa03de1c9 _&_ 9a6880137eb421bcd3c4e0bebd5d879f21ed32d3 _&_ dfa772f4302a208a3a6bb9397a7ef27d543a22cf _&_ 95f0f7e57f260f5b42fbd99612ea48f6cd4e00d0 _&_ b6b9fb721dc1485271223956a0f55e3f7d2e75b3,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ 080301020811104 VI.8 - Investissements dans le développement des zones forestières et amélioration de la viabilité des forêts (article 21, articles 22 à 26) EAFRD _&_ I.7 - Specific support – Title III, Chapter 5 _&_ 080301030861106 VI.8 - Investissements dans le développement des zones forestières et amélioration de la viabilité des forêts (article 21, articles 22 à 26) EAFRD _&_ 080301021642121 VI.21 - Coopération (article 35) EAFRD _&_ 080301020841172 VI.8 - Investissements dans le développement des zones forestières et amélioration de la viabilité des forêts (article 21, articles 22 à 26) EAFRD _&_ 080301020841182 VI.8 - Investissements dans le développement des zones forestières et amélioration de la viabilité des forêts (article 21, articles 22 à 26) EAFRD _&_ 080301020841193 VI.8 - Investissements dans le développement des zones forestières et amélioration de la viabilité des forêts (article 21, articles 22 à 26) EAFRD _&_ 080301021641182 VI.21 - Coopération (article 35) EAFRD _&_ 080301020833141 VI.8 - Investissements dans le développement des zones forestières et amélioration de la viabilité des forêts (article 21, articles 22 à 26) EAFRD _&_ 080301021932141 VI.24 - Soutien au développement local Leader (article 35) EAFRD _&_ 080301020831174 VI.8 - Investissements dans le développement des zones forestières et amélioration de la viabilité des forêts (article 21, articles 22 à 26) EAFRD","VI.4 - Investissements physiques (article 17) _&_ VI.8 - Investissements dans le développement des zones forestières et amélioration de la viabilité des forêts (article 21, articles 22 à 26) _&_ VI.7 - Services de base et rénovation des villages dans les zones rurales (article 20) _&_ VI.21 - Coopération (article 35) _&_ VI.24 - Soutien au développement local Leader (article 35)",EAFRD,33,,
8,sa gardel,13388081.54,0.0013000537194007547,LE MOULE,d03622bd971e0109a3d04b4a5df5481259d1d49a _&_ 3ecf1de506fa234eefceff381cdc5930f74d7994 _&_ 43b21426131ae5a91b41fe519414f51957cf7759 _&_ 0a68461691557a0d9f4e0273d7b313e933661ede _&_ ba114dee39710dae6a2aefb980a9dcb6063538d2,"II.1 - Basic payment scheme - Title III, Sections 1, 2, 3 and 5 _&_ I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ 080301037161101 VI.16 - Agriculture biologique (article 29) EAFRD _&_ 080301027111101 VI.16 - Agriculture biologique (article 29) EAFRD",VII.1 - Mesures prévues par le règlement (UE) no 228/2013 _&_ VI.4 - Investissements physiques (article 17) _&_ VI.16 - Agriculture biologique (article 29),EAGF _&_ EAFRD,5,,
9,sas sucrerie de bois rouge,13249000.0,0.0012865481642667527,SAINTE SUZANNE,d03622bd971e0109a3d04b4a5df5481259d1d49a,"II.1 - Basic payment scheme - Title III, Sections 1, 2, 3 and 5",VII.1 - Mesures prévues par le règlement (UE) no 228/2013,EAGF,1,,
10,union reunionnaise cooperative agricole,10751353.19,0.0010440134130861194,SAINT PAUL,d03622bd971e0109a3d04b4a5df5481259d1d49a,"II.1 - Basic payment scheme - Title III, Sections 1, 2, 3 and 5",VII.1 - Mesures prévues par le règlement (UE) no 228/2013,EAGF,1,,
