rank,recipient_name,amount,fraction,address,scheme_id,scheme,counts,latitude,longitude
1,υπουργειο υποδομων και μεταφορων,22888883.2,0.008552292486524329,Παπάγου - Χολαργού,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970,EAFRD - Investments in physical assets (Article 17),1,,
2,υπουργειο αγροτικης αναπτυξης και τροφιμων,13610867.2,0.005085618038788385,Αθηναίων,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970,EAFRD - Investments in physical assets (Article 17),1,,
3,ελληνικη αναπτυξιακη τραπεζα ανωνυμη εταιρεια,11825000.0,0.004418339582996788,Αθηναίων,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970,EAFRD - Investments in physical assets (Article 17),1,,
4,υπουργειο περιβαλλοντος και ενεργειας υπεν,4994973.83,0.001866341698868674,Αθηναίων,220ed06151e353887be881401c29c1cd0fd2b92d,"EAFRD - Investments in forest area development and improvement of the viability of forests (Article 21, Articles 22 to 26)",1,,
5,ελληνικος γεωργικος οργανισμος δημητρα,4647760.75,0.0017366076358582528,Πέλλας,7f302359621af52e2e4216f9c254431327c9ae28 _&_ 94a6b0b084e479f937bf8e7aa40e4ddc3cac75bd,EAFRD - Natural or other area-specific constraints _&_ EAGF - Crop-specific payment for cotton,2,,
6,δημος σικυωνιων,3742295.92,0.001398286189820159,Σικυωνίων,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970,EAFRD - Investments in physical assets (Article 17),1,,
7,μοναδα οργανωσης της διαχειρισης αναπτυξιακων προγραμματων μοδ,3508409.39,0.001310895905386437,Αθηναίων,4a33f62edb858c0bb65f8e4a330a45b494c693c4,EAFRD - Technical assistance (Articles 51 to 54),1,,
8,ενωση αγροτικων συνεταιρισμων ναξου αγροτικη εταιρικη συμπραξη αε,3462083.8600000003,0.0012935866518640432,Νάξου και Μικρών Κυκλάδων,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970 _&_ f21a89aebb1c2b7a896efccadf63ecb07e8460e2,EAFRD - Investments in physical assets (Article 17) _&_ EAGF - Measures provided for in Regulation (EU) No 229/2013,2,,
9,περιφερεια ηπειρου,2905459.37,0.0010856072846731426,Ιωαννιτών,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970 _&_ 84f4e8cb9cb69072dc8329496f70ca22e8c08f46,EAFRD - Investments in physical assets (Article 17) _&_ EAGF - Recoveries – Crosscompliance,2,,
10,περιφερεια δυτικης μακεδονιας,2889205.36,0.0010795340723462566,Κοζάνης,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970 _&_ 84f4e8cb9cb69072dc8329496f70ca22e8c08f46,EAFRD - Investments in physical assets (Article 17) _&_ EAGF - Recoveries – Crosscompliance,2,,
11,περιφερεια κεντρικης μακεδονιας,2762509.74,0.0010321950217891049,Θεσσαλονίκης,484d586ed52042d133c34e5a3fb6de275a79c5eb,EAFRD - Farm and business development (Article 19),1,,
12,αγροτικος συνεταιρισμος βεροιας venus growers,2693174.84,0.0010062884566175933,Βέροιας,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970 _&_ 59bb23ba1145c86c97ef6b7ffd0396945fce3a1d,EAFRD - Investments in physical assets (Article 17) _&_ EAGF - Aid in fruit and vegetables sector,2,,
13,little acre milk farm ανωνυμη εταιρεια,2410917.37,0.0009008246636114599,Τρικκαίων,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970,EAFRD - Investments in physical assets (Article 17),1,,
14,περιφερεια δυτικης ελλαδας,2342631.47,0.0008753100509323428,Πατρέων,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970,EAFRD - Investments in physical assets (Article 17),1,,
15,ειδικη υπηρεσια διαχειρισης σς καπ,2143198.78,0.0008007932350024882,Αθηναίων,4a33f62edb858c0bb65f8e4a330a45b494c693c4,EAFRD - Technical assistance (Articles 51 to 54),1,,
16,δημος νικολαου σκουφα,1939724.76,0.0007247664006111581,Νικολάου Σκουφά,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970,EAFRD - Investments in physical assets (Article 17),1,,
17,δημος κορινθιων,1847592.07,0.0006903415793752197,Κορινθίων,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970,EAFRD - Investments in physical assets (Article 17),1,,
18,δημος βολβης,1783938.4,0.0006665577713613494,Βόλβης,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970,EAFRD - Investments in physical assets (Article 17),1,,
19,δημος μινωα πεδιαδας,1705126.52,0.00063711019004935,Μινώα Πεδιάδας,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970,EAFRD - Investments in physical assets (Article 17),1,,
20,εβροφαρμα αβεε,1694265.68,0.0006330521030069318,Διδυμοτείχου,aa64ee4a6a95403e74b3ceb89bc19fa5a2fef970,EAFRD - Investments in physical assets (Article 17),1,,
584779,gr gr-2024-358576,0.05,1.8682196968273945e-11,Λέσβου,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
584780,gr gr-2024-395839,0.05,1.8682196968273945e-11,Αίγινας,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
584781,gr gr-2024-585283,0.04,1.4945757574619156e-11,Εμμανουήλ Παππά,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
584782,gr gr-2024-439623,0.03,1.1209318180964367e-11,Μήλου,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
584783,gr gr-2024-128731,0.02,7.472878787309578e-12,Φιλαδελφείας - Χαλκηδόνος,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
584784,gr gr-2024-240779,0.02,7.472878787309578e-12,Μήλου,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
584785,gr gr-2024-449877,0.02,7.472878787309578e-12,Σάμου,84f4e8cb9cb69072dc8329496f70ca22e8c08f46,EAGF - Recoveries – Crosscompliance,1,,
584786,gr gr-2024-301889,0.02,7.472878787309578e-12,Ιωαννιτών,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
584787,gr gr-2024-373063,0.02,7.472878787309578e-12,Ανδρίτσαινας - Κρεστένων,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
584788,gr gr-2024-559066,0.02,7.472878787309578e-12,Λέσβου,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
584789,gr gr-2024-203494,0.01,3.736439393654789e-12,Δίου - Ολύμπου,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
584790,gr gr-2024-383526,0.01,3.736439393654789e-12,Θάσου,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
584791,gr gr-2024-279924,0.01,3.736439393654789e-12,Νάξου και Μικρών Κυκλάδων,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
584792,gr gr-2024-279999,0.01,3.736439393654789e-12,Νάξου και Μικρών Κυκλάδων,84f4e8cb9cb69072dc8329496f70ca22e8c08f46,EAGF - Recoveries – Crosscompliance,1,,
584793,gr gr-2024-106031,0.01,3.736439393654789e-12,Πατρέων,84f4e8cb9cb69072dc8329496f70ca22e8c08f46,EAGF - Recoveries – Crosscompliance,1,,
584794,gr gr-2024-425079,0.01,3.736439393654789e-12,Μήλου,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
584795,gr gr-2024-613287,0.01,3.736439393654789e-12,Λέσβου,84f4e8cb9cb69072dc8329496f70ca22e8c08f46,EAGF - Recoveries – Crosscompliance,1,,
584796,gr gr-2024-425031,0.01,3.736439393654789e-12,Κιμώλου,100859ab1b414f44bc0a0728e5b0ebc3c6b724da,"EAGF - Basic payment scheme -Title III,Sections 1,2, 3 and 5.",1,,
