rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_1,counts,latitude,longitude
1,a&g-agro kft.,9455925.2,0.0033587840482081945,Budapest,96e830420e116b9c67d7761fcd217e51d748257a,RDP-M04.1.1.8- Development of husbandry farms _&_ VP-M04.2.1 Complex Development of food industry plants 2021 - Food Processing Plant,National _&_ EAFRD,3,,
2,kisalföldi mezőgazdasági zrt.,8949438.97,0.0031788780280166324,Nagyszentjános,96e830420e116b9c67d7761fcd217e51d748257a _&_ 4e1c87969ca6366589a77801c50bc3aea4619e54 _&_ b42ec9d695f40a196ffb2fd4456e184226889bc3 _&_ 3e7df4640a2e1864c8cd46516f4018c63a789465 _&_ 096de4f7f8e507e43862f1605d56d04abd81867a _&_ d1f4fcd5347b65e1b7062c19f7c41c8f0e08c7e5 _&_ 9af8c036e98a4d669b44c9a951443ca991fe4956 _&_ 96f0a3be07ede5f12b8b1c87b956c266fc4260b0 _&_ 0085061858c2f35b3ef2ce168a8cd7dfc241df93 _&_ 6b24cc16a0f5c725db3b64c844721c883e278052 _&_ 92b0731821d4760964907d4cfb6521a4eec11d58,RDP-M04.1.1.8- Development of husbandry farms _&_ CAP Strategic Plan-DP14 - Dairy Cow Farming Support _&_ RDP-M14.1.1- Animal welfare in the milk sector _&_ RDP-M04.1.4- Water management _&_ VP-M04.1.8-Precision improvements to the agricultural digital transition _&_ CAP Strategic Plan-DP01 - Basic income support for sustainability _&_ CAP Strategic Plan-RD20 - Support for Organic Farming RDP _&_ CAP Strategic Plan-DP17 - Agro-Ecological Programme (Eco scheme) _&_ CAP Strategic Plan-RD19 - Agri-Environment Management Payments (AKG) RDP _&_ CAP Strategic Plan-DP07 - VCS - vegetables for industrial use _&_ VP-3-17.1.1-16 Contribution to insurance premium _&_ CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability _&_ CAP Strategic Plan-DP16 - Subsidy for the production of fibrous protein fodder crops,National _&_ EAFRD _&_ EAGF,18,,
3,solum mezőgazdasági ipari és kereskedelmi zrt.,8811310.99,0.003129814393732044,Komárom,96e830420e116b9c67d7761fcd217e51d748257a _&_ 4e1c87969ca6366589a77801c50bc3aea4619e54 _&_ b42ec9d695f40a196ffb2fd4456e184226889bc3 _&_ 3e7df4640a2e1864c8cd46516f4018c63a789465 _&_ d1f4fcd5347b65e1b7062c19f7c41c8f0e08c7e5 _&_ 0085061858c2f35b3ef2ce168a8cd7dfc241df93 _&_ 18d4f18a6a367d546eb169f01417e731f15f9844,RDP-M04.1.1.8- Development of husbandry farms _&_ CAP Strategic Plan-DP14 - Dairy Cow Farming Support _&_ RDP-M14.1.1- Animal welfare in the milk sector _&_ VP-M04.1.8-Precision improvements to the agricultural digital transition _&_ CAP Strategic Plan-DP01 - Basic income support for sustainability _&_ CAP Strategic Plan-DP17 - Agro-Ecological Programme (Eco scheme) _&_ VP-3-17.1.1-16 Contribution to insurance premium _&_ RDP - M12 Natura 2000 Forest (NHRDP) _&_ Natura 2000 payments - grassland (Natura 2000 grassland support),National _&_ EAFRD _&_ EAGF,12,,
4,"magyar agrár-, élelmiszergazdasági és vidékfejlesztési kamara",8507094.72,0.0030217555064978897,Budapest,9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 2431244d23bce171f09e667257da01d1ba945efb,RDP-M01.2.2-Information actions _&_ RDP-M05.1.1.2-Prevention of hail damage,EAFRD _&_ National,4,,
5,bpr 2001 baromfitenyésztő kft.,8268609.8,0.002937044668785869,Nyírkércs,96e830420e116b9c67d7761fcd217e51d748257a,RDP-M04.1.1.8- Development of husbandry farms,National,1,,
6,dalmandi mezőgazdasági zrt.,7911285.27,0.002810121506217124,Dalmand,96e830420e116b9c67d7761fcd217e51d748257a _&_ 3e7df4640a2e1864c8cd46516f4018c63a789465 _&_ 9af8c036e98a4d669b44c9a951443ca991fe4956 _&_ d1f4fcd5347b65e1b7062c19f7c41c8f0e08c7e5 _&_ 0085061858c2f35b3ef2ce168a8cd7dfc241df93 _&_ 4d982c6bb21582d31ea7936cf29c02344b284866 _&_ 15eb98dec2d1260bb138d044616c9f15efa5501b _&_ 92b0731821d4760964907d4cfb6521a4eec11d58 _&_ 096de4f7f8e507e43862f1605d56d04abd81867a _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32,RDP-M04.1.1.8- Development of husbandry farms _&_ CAP Strategic Plan-DP01 - Basic income support for sustainability _&_ CAP Strategic Plan-RD19 - Agri-Environment Management Payments (AKG) RDP _&_ CAP Strategic Plan-DP17 - Agro-Ecological Programme (Eco scheme) _&_ VP-M04.1.8-Precision improvements to the agricultural digital transition _&_ VP-3-17.1.1-16 Contribution to insurance premium _&_ CAP Strategic Plan-DP15 - Subsidy for the production of grain protein fodder crops _&_ M08 Improving forest areas and the viability of forests / Afforestation of agricultural land _&_ CAP Strategic Plan-DP16 - Subsidy for the production of fibrous protein fodder crops _&_ CAP Strategic Plan-RD20 - Support for Organic Farming RDP _&_ 10.1.1 Agri-environment scheme,EAFRD _&_ EAGF _&_ National,14,,
7,kisszállási keltető kft.,7600110.550000001,0.0026995909485365652,Kisszállás,96e830420e116b9c67d7761fcd217e51d748257a,RDP-M04.1.1.8- Development of husbandry farms,National _&_ EAFRD,2,,
8,eggs-coop kft.,7129637.13,0.0025324768285769493,Nyírkércs,96e830420e116b9c67d7761fcd217e51d748257a,RDP-M04.1.1.8- Development of husbandry farms,EAFRD _&_ National,2,,
9,kreinbacher birtok pezsgőpincészet kft.,7124258.68,0.0025305663807167985,Szombathely,96e830420e116b9c67d7761fcd217e51d748257a _&_ 3e7df4640a2e1864c8cd46516f4018c63a789465 _&_ 6b24cc16a0f5c725db3b64c844721c883e278052,VP-M04.2.2 Complex Development of food industry plants 2021 - Wineries _&_ VP-M04.1.3.5-Renewal horticulture plants 2021 _&_ CAP Strategic Plan-DP01 - Basic income support for sustainability _&_ CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability,National _&_ EAGF,4,,
10,bólyi mezőgazdasági termelő és kereskedelmi zrt.,6899696.04,0.002450800794896014,Bóly,3e7df4640a2e1864c8cd46516f4018c63a789465 _&_ d1f4fcd5347b65e1b7062c19f7c41c8f0e08c7e5 _&_ 9af8c036e98a4d669b44c9a951443ca991fe4956 _&_ 4e1c87969ca6366589a77801c50bc3aea4619e54 _&_ b42ec9d695f40a196ffb2fd4456e184226889bc3 _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ 4d982c6bb21582d31ea7936cf29c02344b284866 _&_ 0085061858c2f35b3ef2ce168a8cd7dfc241df93 _&_ 92b0731821d4760964907d4cfb6521a4eec11d58 _&_ 96f0a3be07ede5f12b8b1c87b956c266fc4260b0,CAP Strategic Plan-DP01 - Basic income support for sustainability _&_ CAP Strategic Plan-DP17 - Agro-Ecological Programme (Eco scheme) _&_ CAP Strategic Plan-RD19 - Agri-Environment Management Payments (AKG) RDP _&_ CAP Strategic Plan-DP14 - Dairy Cow Farming Support _&_ RDP-M14.1.1- Animal welfare in the milk sector _&_ VP-M04.1.8-Precision improvements to the agricultural digital transition _&_ CAP Strategic Plan-DP15 - Subsidy for the production of grain protein fodder crops _&_ VP-3-17.1.1-16 Contribution to insurance premium _&_ CAP Strategic Plan-DP16 - Subsidy for the production of fibrous protein fodder crops _&_ CAP Strategic Plan-DP07 - VCS - vegetables for industrial use,EAGF _&_ National _&_ EAFRD,12,,
11,taravis baromfi és élelmiszeripari kft.,6806187.02,0.00241758600119824,Sárvár,96e830420e116b9c67d7761fcd217e51d748257a,VP-M04.2.1 Complex Development of food industry plants 2021 - Food Processing Plant,National,1,,
12,ulyssys számitástechnikai fejlesztő és tanácsadó kft.,6423501.71,0.0022816545838566975,Budapest,c0e4522846c6c3fb0cd25d5e0bdd284205617a80,RDP-M20.1 Technical assistance for the tasks related to the Paying Agency and intermediate organization activities of EAFRD,National,1,,
13,altenol energy kft.,6316728.93,0.0022437284473167383,Vácszentlászló,96e830420e116b9c67d7761fcd217e51d748257a,VP-M04.2.1 Complex Development of food industry plants 2021 - Food Processing Plant,National,1,,
14,baromfi-coop termelő és kereskedelmi kft.,5708245.63,0.002027592642684836,Debrecen,96e830420e116b9c67d7761fcd217e51d748257a _&_ 3e7df4640a2e1864c8cd46516f4018c63a789465 _&_ 6b24cc16a0f5c725db3b64c844721c883e278052,"VP-M04.1.7- Crop storage, drier, cleaner 2021 _&_ VP-M04.2.1- Development of feed production plants _&_ RDP-M04.1.1.8- Development of husbandry farms _&_ CAP Strategic Plan-DP01 - Basic income support for sustainability _&_ CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability",National _&_ EAGF,5,,
15,"bfb plus mezőgazdasági, termelői és kereskedelmi kft.",5621148.17,0.0019966552618257477,Csévharaszt,96e830420e116b9c67d7761fcd217e51d748257a,VP-M04.2.1- Development of feed production plants,National,1,,
16,aqua lorenzo kft.,5208328.39,0.001850019955124208,Albertirsa,96e830420e116b9c67d7761fcd217e51d748257a,VP-M04.2.1 Complex Development of food industry plants 2021 - Food Processing Plant,National,1,,
