rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,counts,latitude,longitude
1,edia - empresa de desenvolvimento e infra-estruturas do alqueva s.a.,29093766.22,0.017871546754503434,,96e830420e116b9c67d7761fcd217e51d748257a _&_ 7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ 593be1ac8b242936da4efe3e6025abf25b84019a _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ 18d4f18a6a367d546eb169f01417e731f15f9844 _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ b905eca258259a1dbfdbe2f2d3573800a95c6327,VI.4 _&_ I.1 _&_ V.1 _&_ I.4 _&_ I.6 _&_ VI.17 _&_ VI.21 _&_ VI.18 _&_ VI.7 _&_ IV.5,VI.4 _&_ I.1 _&_ V.1 _&_ I.4 _&_ I.6 _&_ VI.17 _&_ VI.21 _&_ VI.18 _&_ VI.7 _&_ IV.5,10,,
2,direcção geral de agricultura e desenvolvimento rural,14064257.89,0.00863930920967333,LISBOA,96e830420e116b9c67d7761fcd217e51d748257a _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80,VI.4 _&_ VI.25,VI.4 _&_ VI.25,2,,
3,associacao de beneficiários da obra de fomento hidroagr do baixo mondego,7794866.4,0.004788184460523513,66666,96e830420e116b9c67d7761fcd217e51d748257a _&_ 593be1ac8b242936da4efe3e6025abf25b84019a _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ 7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ f5be9436f792236113ec36aca52ce84ec60e04a0 _&_ 91ca7a8751c15dac4a4b91f46ec736d9f8002557,VI.4 _&_ I.4 _&_ I.6 _&_ V.1 _&_ I.1 _&_ I.2 _&_ V.6,VI.4 _&_ I.4 _&_ I.6 _&_ V.1 _&_ I.1 _&_ I.2 _&_ V.6,7,,
4,associacao de regantes e beneficiarios do vale do sorraia,7664753.68,0.00470825958791499,SANTAREM,96e830420e116b9c67d7761fcd217e51d748257a,VI.4,VI.4,1,,
5,estrutura de missão para a gestão do pepac no continente,5303505.04,0.00325780572952939,LISBOA,c0e4522846c6c3fb0cd25d5e0bdd284205617a80,VI.25,VI.25,1,,
6,gesba - empresa de gestão do sector da banana lda,5202802.11,0.003195946528895087,ILHA DA MADEIRA,96e830420e116b9c67d7761fcd217e51d748257a _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 4faa1e69e1865f3c356ae2ed5b45139089ed5ece _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ 02aa612697c6b5e8b4a4656b13079bfb3afd8409 _&_ 91ca7a8751c15dac4a4b91f46ec736d9f8002557,VI.4 _&_ VI.21 _&_ V.2 _&_ V.1 _&_ VII.1 _&_ V.6,VI.4 _&_ VI.21 _&_ V.2 _&_ V.1 _&_ VII.1 _&_ V.6,6,,
7,câmara municipal de vila flor,5082353.91,0.0031219583205098823,,96e830420e116b9c67d7761fcd217e51d748257a _&_ 12e667f2468f92e4442ccc751d739bf51c34b896 _&_ 141bc77784b65c7c4d14bce3d0ba4f914978ff7c,VI.4 _&_ VI.24 _&_ IV.3,VI.4 _&_ VI.24 _&_ IV.3,3,,
8,european investment fund,5016715.25,0.003081638192403314,,96e830420e116b9c67d7761fcd217e51d748257a,VI.4,VI.4,1,,
9,"instituto da conservação da natureza e das florestas, i.p",3701156.07,0.0022735242749441185,"OEIRAS, LISBOA",bd065481240836afd5ed455a4f9c64d129f1968d _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4,VI.8 _&_ VI.21,VI.8 _&_ VI.21,2,,
10,instituto de financiamento da agricultura e pescas i.p.,3625916.26,0.002227306409163283,LISBOA,c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ 0746364c516c8411be095d64938625686f815012,VI.25 _&_ II.12,VI.25 _&_ II.12,2,,
11,"insular - produtos alimentares, s.a",2902013.69,0.0017826318171000977,ILHA DA MADEIRA,02aa612697c6b5e8b4a4656b13079bfb3afd8409,VII.1,VII.1,1,,
12,rama-rações para animais s.a.,2604746.69,0.0016000284013409202,ILHA DA MADEIRA,02aa612697c6b5e8b4a4656b13079bfb3afd8409,VII.1,VII.1,1,,
13,finançor - agro-alimentar s.a.,2549079.3400000003,0.0015658333906055826,ILHA DE SAO MIGUEL,02aa612697c6b5e8b4a4656b13079bfb3afd8409 _&_ 0746364c516c8411be095d64938625686f815012,VII.1 _&_ II.12,VII.1 _&_ II.12,2,,
14,direccao regional de agricultura e pescas do norte,2324533.8000000003,0.0014279008834739838,,c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ 96e830420e116b9c67d7761fcd217e51d748257a,VI.25 _&_ VI.15 _&_ I.1 _&_ VI.18 _&_ VI.4,VI.25 _&_ VI.15 _&_ I.1 _&_ VI.18 _&_ VI.4,5,,
15,lusomorango - organizacao de produtores de pequenos frutos sa,2202260.67,0.0013527916678746537,,97805dfaccd02b7468dfb07b58bd8cfca984800d,IV.6,IV.6,1,,
16,"floraram, lda",2167074.75,0.0013311778689039334,ILHA DA MADEIRA,bd065481240836afd5ed455a4f9c64d129f1968d _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ 4faa1e69e1865f3c356ae2ed5b45139089ed5ece _&_ 02aa612697c6b5e8b4a4656b13079bfb3afd8409,VI.8 _&_ V.1 _&_ V.2 _&_ VII.1,VI.8 _&_ V.1 _&_ V.2 _&_ VII.1,4,,
17,viniportugal associação interprofissional do vinho,1969653.09,0.0012099068584626568,LISBOA,c633e188794bc5fa371d78b516ebc28c27c0dddd,III.3,III.3,1,,
18,cooperativa união agrícola crl,1867417.64,0.0011471062705007348,ILHA DE SAO MIGUEL,02aa612697c6b5e8b4a4656b13079bfb3afd8409,VII.1,VII.1,1,,
19,"iroa, s.a.",1693876.5,0.001040504444738906,ILHA DE SAO MIGUEL,96e830420e116b9c67d7761fcd217e51d748257a,VI.4,VI.4,1,,
20,confagri - conf. nac. das coop. agric. e credito agric. de portugal ccrl,1683531.87,0.0010341500065645885,LISBOA,2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80,VI.2 _&_ VI.1 _&_ VI.25,VI.2 _&_ VI.1 _&_ VI.25,3,,
196126,nome do nifap 15183,9.7,5.9584586680123294e-09,ILHA DE SAO MIGUEL,02aa612697c6b5e8b4a4656b13079bfb3afd8409,VII.1,VII.1,1,,
