rank,recipient_name,amount,fraction,address,scheme_id,scheme,counts,latitude,longitude
1,g's growers ltd,6250440.9872820005,0.0028206696450920627,ELY,464bb70f29dfdc6b8d9acabbaf5859ad7499f1a0,Aid in fruit and vegetables sector - UK funded,1,,
2,berry gardens growers ltd,5373223.773216,0.0024248031817652635,MAIDSTONE,464bb70f29dfdc6b8d9acabbaf5859ad7499f1a0,Aid in fruit and vegetables sector - UK funded,1,,
3,sac commercial,5058912.122313,0.002282962096535469,Edinburgh,d064ea4853e2bf759995d0dd1e01cb8eafd26268 _&_ 7efbd5485e1268ef9193a18fb701612b8a1aaef9 _&_ 30ea935d87e4a62de38df47bdfce3ffe0bce63ca _&_ 747d12e2e5928ddc4fe1e8ee04f8978b5636233a _&_ 4d428e892a05090ec2003780f72902e92aca3f1b _&_ acf6553d8e50468f57e921aadd6e78e506b2159b _&_ 4a6bb3ed6b3e13304953228e28bdee7e4a1a960a _&_ ac68ea56c2d84278676082437fb588053e23838e,"Advisory, farm mangement and farm relief services - UK funded _&_ Basic payment scheme - UK funded _&_ Greening - UK payments - UK funded _&_ Payments to areas facing natural constraints - UK funded _&_ Other direct aids - UK funded _&_ Investments in physical assets - UK funded _&_ Organic farming - UK funded _&_ Investment in forest area development and viability",8,,
4,the asplins producer organisation ltd,4958465.638166999,0.0022376330790528087,FAVERSHAM,464bb70f29dfdc6b8d9acabbaf5859ad7499f1a0,Aid in fruit and vegetables sector - UK funded,1,,
5,farm fresh po ltd,4939838.840775,0.00222922726543169,Kent,464bb70f29dfdc6b8d9acabbaf5859ad7499f1a0,Aid in fruit and vegetables sector - UK funded,1,,
6,national trust,4302983.626299,0.001941830236094694,SWINDON,6eb7e58b54f1ca789f9317f3a2ba9a1a0a667a4e _&_ 7efbd5485e1268ef9193a18fb701612b8a1aaef9 _&_ 4d601a7a0955a75b4a11d86bd6a98df47b3351c9 _&_ a50702ee19e4be9d418a5d47489537d7fffd7c4c _&_ acf6553d8e50468f57e921aadd6e78e506b2159b,Agri-environment-climate - UK funded _&_ Basic payment scheme - UK funded _&_ Investment in forest area development and viability - UK funded _&_ Basic services and village renewal in rural areas - UK funded _&_ Investments in physical assets - UK funded,5,,
7,rspb,4286902.666335001,0.001934573296028115,SANDY,6eb7e58b54f1ca789f9317f3a2ba9a1a0a667a4e _&_ 7efbd5485e1268ef9193a18fb701612b8a1aaef9 _&_ 4d601a7a0955a75b4a11d86bd6a98df47b3351c9 _&_ 3138deae70ca08e4d8a1f0339bb6aa6adeac723f _&_ 7f2fa76f3eaba9db3a960cff77d6c0dc772a9fd0 _&_ 747d12e2e5928ddc4fe1e8ee04f8978b5636233a _&_ acf6553d8e50468f57e921aadd6e78e506b2159b _&_ 30ea935d87e4a62de38df47bdfce3ffe0bce63ca _&_ 4d428e892a05090ec2003780f72902e92aca3f1b _&_ 7f7e29da0e95e94eb6d5a6ef8be99c09776d1dc1 _&_ ac68ea56c2d84278676082437fb588053e23838e,"Agri-environment-climate - UK funded _&_ Basic payment scheme - UK funded _&_ Investment in forest area development and viability - UK funded _&_ IV/A.15 - Agri-environment-climate _&_ Forest environmental, climate and conservation - UK funded _&_ Payments to areas facing natural constraints - UK funded _&_ Investments in physical assets - UK funded _&_ Greening - UK payments - UK funded _&_ Other direct aids - UK funded _&_ Knowledge transfer and information actions - UK funded _&_ Investment in forest area development and viability",14,,
8,speciality produce ltd,3908018.896545,0.001763592408337272,BOSTON,464bb70f29dfdc6b8d9acabbaf5859ad7499f1a0,Aid in fruit and vegetables sector - UK funded,1,,
9,welsh assembly government,3754266.487515,0.001694207743496322,CEREDIGION,5eb6aea3231c4171a32307128d1b3f0b6d21bb26,IV/A.25 - Technical assistance,1,,
10,mockbeggar ltd,3290849.075769,0.00148507891099014,ROCHESTER,464bb70f29dfdc6b8d9acabbaf5859ad7499f1a0,Aid in fruit and vegetables sector - UK funded,1,,
